Place,Total,SeaLevel,CoastalDEM_Perm_p5,CoastalDEM_Perm_p50,CoastalDEM_Perm_p95,CoastalDEM_RL1_p5,CoastalDEM_RL1_p50,CoastalDEM_RL1_p95,SRTM_Perm_p5,SRTM_Perm_p50,SRTM_Perm_p95,SRTM_RL1_p5,SRTM_RL1_p50,SRTM_RL1_p95,JAXA_Perm_p5,JAXA_Perm_p50,JAXA_Perm_p95,JAXA_RL1_p5,JAXA_RL1_p50,JAXA_RL1_p95,MERITDEM_Perm_p5,MERITDEM_Perm_p50,MERITDEM_Perm_p95,MERITDEM_RL1_p5,MERITDEM_RL1_p50,MERITDEM_RL1_p95
Ecuador,15,K17_rcp26_2100,0.48,0.63,0.92,0.77,1.1,1.3,0.02,0.03,0.05,0.04,0.07,0.11,0.02,0.03,0.04,0.03,0.05,0.07,0.06,0.08,0.13,0.11,0.15,0.28
Ecuador,15,K17_rcp45_2050,0.47,0.51,0.60,0.72,0.88,1.00,0.02,0.02,0.03,0.04,0.05,0.06,0.02,0.02,0.03,0.03,0.04,0.04,0.06,0.06,0.08,0.10,0.12,0.14
Ecuador,15,K17_rcp45_2100,0.56,0.80,1.2,0.99,1.2,1.6,0.03,0.04,0.10,0.06,0.10,0.18,0.03,0.04,0.06,0.04,0.06,0.11,0.07,0.11,0.24,0.14,0.24,0.43
Ecuador,15,K17_rcp85_2050,0.48,0.52,0.62,0.76,0.93,1.1,0.02,0.02,0.03,0.04,0.05,0.07,0.02,0.03,0.03,0.03,0.04,0.04,0.06,0.07,0.08,0.11,0.13,0.15
Ecuador,15,K17_rcp85_2100,0.72,1.2,1.7,1.2,1.5,2.0,0.04,0.09,0.22,0.09,0.16,0.35,0.03,0.06,0.13,0.06,0.09,0.23,0.10,0.20,0.48,0.21,0.39,0.69
Egypt,80,Present day,--,3.9 ,--,--,4.0 ,--,--,0.00 ,--,--,0.01 ,--,--,0.01 ,--,--,0.27 ,--,--,0.40 ,--,--,0.41 ,--
Egypt,80,K14_rcp26_2050,3.9,4.0,4.4,4.0,4.2,4.6,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.47,1.1,0.27,0.73,1.3,0.40,0.43,0.49,0.41,0.46,0.52
Egypt,80,K14_rcp26_2100,3.9,4.3,5.0,4.0,4.5,5.1,0.00,0.01,0.27,0.01,0.01,0.73,0.01,0.95,2.2,0.27,1.2,2.3,0.40,0.48,0.92,0.41,0.51,1.00
Egypt,80,K14_rcp45_2050,3.9,4.1,4.3,4.0,4.2,4.4,0.00,0.01,0.01,0.01,0.01,0.01,0.22,0.53,0.85,0.47,0.78,1.1,0.41,0.43,0.47,0.43,0.46,0.50
Egypt,80,K14_rcp45_2100,4.1,4.5,4.9,4.3,4.6,5.0,0.01,0.01,0.01,0.01,0.01,0.19,0.65,1.2,1.9,0.90,1.4,2.1,0.45,0.50,0.77,0.47,0.54,0.91
