Place,Total,SeaLevel,CoastalDEM_Perm_p5,CoastalDEM_Perm_p50,CoastalDEM_Perm_p95,CoastalDEM_RL1_p5,CoastalDEM_RL1_p50,CoastalDEM_RL1_p95,SRTM_Perm_p5,SRTM_Perm_p50,SRTM_Perm_p95,SRTM_RL1_p5,SRTM_RL1_p50,SRTM_RL1_p95,JAXA_Perm_p5,JAXA_Perm_p50,JAXA_Perm_p95,JAXA_RL1_p5,JAXA_RL1_p50,JAXA_RL1_p95,MERITDEM_Perm_p5,MERITDEM_Perm_p50,MERITDEM_Perm_p95,MERITDEM_RL1_p5,MERITDEM_RL1_p50,MERITDEM_RL1_p95
World,6800,Present day,--,110 ,--,--,250 ,--,--,28 ,--,--,65 ,--,--,30 ,--,--,63 ,--,--,19 ,--,--,47 ,--
World,6800,K14_rcp26_2050,130,150,160,270,300,320,32,37,43,71,78,86,34,39,45,69,77,85,22,25,29,58,67,79
World,6800,K14_rcp26_2100,150,190,250,300,340,400,36,48,65,78,95,120,38,49,65,77,95,120,27,37,56,71,96,130
World,6800,K14_rcp45_2050,140,150,170,280,300,320,33,38,44,72,79,87,35,40,45,70,77,85,22,25,30,58,69,80
World,6800,K14_rcp45_2100,160,200,260,310,360,420,39,52,70,82,100,130,41,53,70,81,100,130,29,41,62,77,110,150
World,6800,K14_rcp85_2050,140,150,170,280,300,330,33,39,45,73,80,89,35,41,47,71,79,88,23,26,31,60,71,83
World,6800,K14_rcp85_2100,180,230,310,330,390,460,44,60,85,90,110,150,46,60,85,89,110,150,34,50,80,89,120,170
World,6800,K17_rcp26_2050,130,150,170,260,290,330,29,37,47,68,77,91,32,39,48,66,75,89,20,24,32,52,64,85
World,6800,K17_rcp26_2100,140,190,280,280,350,430,32,50,75,72,97,140,34,51,74,71,96,130,24,37,64,61,97,150
World,6800,K17_rcp45_2050,130,150,180,260,300,330,30,38,48,68,78,92,32,40,48,66,77,90,21,25,33,52,66,87
World,6800,K17_rcp45_2100,170,250,380,320,400,510,41,64,110,84,120,180,43,64,110,83,120,170,31,53,110,78,130,210
World,6800,K17_rcp85_2050,130,150,180,270,300,340,31,39,50,69,81,95,33,41,51,67,79,93,21,26,34,54,69,92
World,6800,K17_rcp85_2100,220,340,520,380,480,630,56,94,180,110,170,260,57,93,170,110,160,250,45,91,200,110,190,290
SIDS,62,Present day,--,0.61 ,--,--,0.84 ,--,--,0.26 ,--,--,0.38 ,--,--,0.37 ,--,--,0.50 ,--,--,0.35 ,--,--,0.48 ,--
SIDS,62,K14_rcp26_2050,0.68,0.76,0.85,0.93,1.00,1.2,0.30,0.34,0.38,0.42,0.46,0.50,0.41,0.46,0.50,0.55,0.59,0.64,0.39,0.43,0.47,0.53,0.59,0.65
SIDS,62,K14_rcp26_2100,0.73,0.96,1.5,0.99,1.4,2.1,0.32,0.41,0.53,0.44,0.54,0.71,0.44,0.55,0.69,0.57,0.69,0.87,0.41,0.52,0.73,0.56,0.72,0.97
SIDS,62,K14_rcp45_2050,0.68,0.76,0.86,0.93,1.00,1.2,0.30,0.34,0.38,0.42,0.46,0.50,0.42,0.46,0.51,0.55,0.60,0.65,0.39,0.43,0.48,0.53,0.59,0.66
SIDS,62,K14_rcp45_2100,0.77,1.1,1.7,1.1,1.5,2.3,0.34,0.44,0.58,0.46,0.57,0.76,0.46,0.58,0.74,0.59,0.72,0.93,0.44,0.56,0.79,0.60,0.77,1.1
SIDS,62,K14_rcp85_2050,0.70,0.78,0.89,0.95,1.1,1.3,0.30,0.35,0.39,0.42,0.47,0.52,0.42,0.47,0.52,0.56,0.61,0.66,0.40,0.44,0.49,0.54,0.61,0.68
SIDS,62,K14_rcp85_2100,0.87,1.3,2.2,1.2,1.8,2.9,0.38,0.50,0.71,0.50,0.65,0.90,0.51,0.64,0.88,0.65,0.81,1.1,0.48,0.66,0.97,0.66,0.88,1.3
SIDS,62,K17_rcp26_2050,0.64,0.75,0.94,0.88,1.00,1.3,0.28,0.33,0.40,0.40,0.45,0.53,0.39,0.45,0.54,0.52,0.59,0.68,0.37,0.42,0.51,0.50,0.58,0.70
SIDS,62,K17_rcp26_2100,0.69,1.1,1.8,0.95,1.5,2.4,0.30,0.43,0.62,0.42,0.56,0.81,0.41,0.57,0.78,0.55,0.71,0.97,0.39,0.55,0.84,0.53,0.75,1.1
SIDS,62,K17_rcp45_2050,0.65,0.77,0.96,0.89,1.1,1.4,0.28,0.34,0.41,0.40,0.46,0.54,0.39,0.46,0.54,0.53,0.60,0.69,0.37,0.43,0.52,0.50,0.60,0.72
SIDS,62,K17_rcp45_2100,0.87,1.6,3.1,1.2,2.1,4.0,0.38,0.54,0.91,0.50,0.73,1.2,0.50,0.70,1.1,0.64,0.88,1.3,0.48,0.75,1.3,0.66,0.99,1.6
SIDS,62,K17_rcp85_2050,0.67,0.80,1.00,0.92,1.1,1.5,0.29,0.35,0.42,0.41,0.47,0.55,0.41,0.48,0.56,0.54,0.61,0.70,0.38,0.45,0.54,0.52,0.62,0.74
SIDS,62,K17_rcp85_2100,1.4,2.7,5.4,1.9,3.5,5.9,0.50,0.82,1.6,0.66,1.00,1.9,0.65,0.99,1.7,0.82,1.2,2.1,0.68,1.2,2.2,0.90,1.4,2.6
Albania,3.0,Present day,--,0.05 ,--,--,0.06 ,--,--,0.00 ,--,--,0.00 ,--,--,0.01 ,--,--,0.01 ,--,--,0.02 ,--,--,0.03 ,--
Albania,3.0,K14_rcp26_2050,0.05,0.06,0.10,0.06,0.08,0.11,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.02,0.03,0.04,0.03,0.04,0.05
Albania,3.0,K14_rcp26_2100,0.05,0.08,0.12,0.06,0.10,0.12,0.00,0.01,0.02,0.00,0.01,0.04,0.01,0.02,0.04,0.01,0.03,0.05,0.02,0.04,0.06,0.03,0.04,0.07
Albania,3.0,K14_rcp45_2050,0.05,0.06,0.08,0.06,0.09,0.10,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.04,0.04
Albania,3.0,K14_rcp45_2100,0.06,0.10,0.11,0.09,0.11,0.12,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.02,0.03,0.04,0.03,0.04,0.06,0.04,0.05,0.06
Albania,3.0,K14_rcp85_2050,0.05,0.06,0.10,0.06,0.09,0.11,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.03,0.04,0.03,0.04,0.05
Albania,3.0,K14_rcp85_2100,0.07,0.11,0.12,0.10,0.11,0.13,0.00,0.01,0.02,0.01,0.01,0.05,0.02,0.03,0.04,0.02,0.03,0.05,0.03,0.05,0.07,0.04,0.06,0.08
Albania,3.0,K17_rcp26_2050,0.05,0.06,0.10,0.06,0.08,0.11,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.02,0.03,0.04,0.03,0.03,0.05
Albania,3.0,K17_rcp26_2100,0.05,0.10,0.12,0.06,0.11,0.13,0.00,0.01,0.03,0.00,0.01,0.05,0.01,0.02,0.05,0.01,0.03,0.06,0.02,0.04,0.07,0.03,0.05,0.08
Albania,3.0,K17_rcp45_2050,0.05,0.06,0.09,0.06,0.09,0.11,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.03,0.04,0.03,0.04,0.05
Albania,3.0,K17_rcp45_2100,0.08,0.11,0.13,0.10,0.12,0.14,0.00,0.01,0.07,0.01,0.02,0.09,0.02,0.03,0.06,0.03,0.04,0.07,0.03,0.05,0.09,0.04,0.06,0.10
Albania,3.0,K17_rcp85_2050,0.05,0.06,0.10,0.06,0.09,0.11,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.03,0.02,0.03,0.04,0.03,0.04,0.05
Albania,3.0,K17_rcp85_2100,0.11,0.13,0.19,0.11,0.13,0.20,0.01,0.05,0.14,0.01,0.07,0.15,0.03,0.05,0.10,0.04,0.06,0.11,0.05,0.08,0.12,0.06,0.09,0.13
Algeria,35,Present day,--,0.03 ,--,--,0.04 ,--,--,0.00 ,--,--,0.01 ,--,--,0.02 ,--,--,0.03 ,--,--,0.01 ,--,--,0.02 ,--
Algeria,35,K14_rcp26_2050,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.01,0.02,0.01,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.01,0.02,0.02,0.02,0.02,0.02
Algeria,35,K14_rcp26_2100,0.04,0.04,0.05,0.04,0.04,0.10,0.00,0.02,0.05,0.01,0.03,0.06,0.02,0.03,0.05,0.03,0.04,0.05,0.01,0.02,0.03,0.02,0.02,0.03
Algeria,35,K14_rcp45_2050,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.02,0.01,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02
Algeria,35,K14_rcp45_2100,0.04,0.04,0.05,0.04,0.05,0.06,0.01,0.03,0.05,0.02,0.04,0.06,0.03,0.04,0.05,0.03,0.04,0.05,0.02,0.02,0.03,0.02,0.02,0.03
Algeria,35,K14_rcp85_2050,0.04,0.04,0.04,0.04,0.04,0.05,0.00,0.02,0.03,0.01,0.02,0.04,0.02,0.03,0.04,0.03,0.03,0.04,0.01,0.02,0.02,0.02,0.02,0.02
Algeria,35,K14_rcp85_2100,0.04,0.05,0.11,0.04,0.05,0.16,0.02,0.04,0.07,0.03,0.05,0.08,0.03,0.04,0.06,0.04,0.05,0.07,0.02,0.03,0.04,0.02,0.03,0.04
Algeria,35,K17_rcp26_2050,0.03,0.04,0.05,0.04,0.04,0.05,0.00,0.01,0.04,0.01,0.02,0.04,0.02,0.03,0.04,0.03,0.03,0.04,0.01,0.02,0.02,0.02,0.02,0.03
Algeria,35,K17_rcp26_2100,0.03,0.04,0.14,0.04,0.05,0.17,0.00,0.03,0.08,0.01,0.04,0.08,0.02,0.04,0.07,0.03,0.04,0.07,0.01,0.02,0.04,0.02,0.02,0.05
Algeria,35,K17_rcp45_2050,0.04,0.04,0.04,0.04,0.04,0.05,0.00,0.02,0.03,0.01,0.02,0.04,0.02,0.03,0.04,0.03,0.03,0.04,0.01,0.02,0.02,0.02,0.02,0.02
Algeria,35,K17_rcp45_2100,0.04,0.05,0.21,0.04,0.05,0.25,0.02,0.05,0.10,0.03,0.06,0.11,0.03,0.05,0.09,0.04,0.05,0.10,0.02,0.03,0.06,0.02,0.04,0.06
Algeria,35,K17_rcp85_2050,0.03,0.04,0.05,0.04,0.04,0.05,0.00,0.02,0.04,0.01,0.03,0.05,0.02,0.03,0.04,0.03,0.03,0.05,0.01,0.02,0.02,0.02,0.02,0.03
Algeria,35,K17_rcp85_2100,0.05,0.18,0.55,0.05,0.19,0.61,0.05,0.09,0.18,0.05,0.10,0.20,0.04,0.08,0.16,0.05,0.08,0.17,0.03,0.05,0.16,0.03,0.06,0.17
Angola,13,Present day,--,0.00 ,--,--,0.01 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.01 ,--,--,0.00 ,--,--,0.00 ,--
Angola,13,K14_rcp26_2050,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Angola,13,K14_rcp26_2100,0.01,0.01,0.01,0.01,0.02,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Angola,13,K14_rcp45_2050,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Angola,13,K14_rcp45_2100,0.01,0.01,0.01,0.01,0.02,0.09,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Angola,13,K14_rcp85_2050,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Angola,13,K14_rcp85_2100,0.01,0.01,0.04,0.01,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.01
Angola,13,K17_rcp26_2050,0.00,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Angola,13,K17_rcp26_2100,0.00,0.01,0.02,0.01,0.02,0.10,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Angola,13,K17_rcp45_2050,0.00,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Angola,13,K17_rcp45_2100,0.01,0.01,0.10,0.01,0.08,0.16,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.00,0.00,0.01,0.00,0.00,0.02
Angola,13,K17_rcp85_2050,0.00,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Angola,13,K17_rcp85_2100,0.01,0.09,0.20,0.05,0.14,0.31,0.00,0.01,0.01,0.00,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.04,0.00,0.00,0.03,0.00,0.01,0.05
Argentina,41,Present day,--,0.01 ,--,--,0.11 ,--,--,0.00 ,--,--,0.01 ,--,--,0.01 ,--,--,0.02 ,--,--,0.00 ,--,--,0.01 ,--
Argentina,41,K14_rcp26_2050,0.02,0.02,0.02,0.12,0.13,0.14,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.03,0.00,0.01,0.01,0.01,0.01,0.01
Argentina,41,K14_rcp26_2100,0.02,0.03,0.08,0.13,0.15,0.19,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.03,0.03,0.04,0.01,0.01,0.01,0.01,0.01,0.02
Argentina,41,K14_rcp45_2050,0.02,0.02,0.02,0.12,0.13,0.14,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.00,0.01,0.01,0.01,0.01,0.01
Argentina,41,K14_rcp45_2100,0.02,0.04,0.09,0.14,0.16,0.21,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.03,0.03,0.04,0.01,0.01,0.01,0.01,0.02,0.02
Argentina,41,K14_rcp85_2050,0.02,0.02,0.03,0.13,0.14,0.15,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.00,0.01,0.01,0.01,0.01,0.01
Argentina,41,K14_rcp85_2100,0.03,0.07,0.13,0.15,0.18,0.57,0.01,0.01,0.02,0.02,0.03,0.05,0.02,0.02,0.03,0.03,0.04,0.06,0.01,0.01,0.01,0.01,0.02,0.03
Argentina,41,K17_rcp26_2050,0.01,0.02,0.03,0.12,0.13,0.15,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.00,0.01,0.01,0.01,0.01,0.01
Argentina,41,K17_rcp26_2100,0.02,0.04,0.10,0.13,0.16,0.21,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.03,0.05,0.00,0.01,0.01,0.01,0.02,0.02
Argentina,41,K17_rcp45_2050,0.01,0.02,0.03,0.12,0.13,0.15,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.00,0.01,0.01,0.01,0.01,0.01
Argentina,41,K17_rcp45_2100,0.02,0.08,0.15,0.15,0.19,1.1,0.01,0.01,0.02,0.02,0.03,0.06,0.02,0.02,0.03,0.03,0.04,0.08,0.01,0.01,0.01,0.01,0.02,0.03
Argentina,41,K17_rcp85_2050,0.02,0.02,0.03,0.12,0.14,0.16,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.00,0.01,0.01,0.01,0.01,0.01
Argentina,41,K17_rcp85_2100,0.06,0.14,0.51,0.18,0.86,2.1,0.01,0.02,0.05,0.03,0.05,0.14,0.02,0.03,0.07,0.04,0.07,0.15,0.01,0.01,0.03,0.02,0.03,0.08
Australia,21,Present day,--,0.07 ,--,--,0.16 ,--,--,0.03 ,--,--,0.06 ,--,--,0.04 ,--,--,0.07 ,--,--,0.04 ,--,--,0.08 ,--
Australia,21,K14_rcp26_2050,0.09,0.10,0.11,0.19,0.21,0.23,0.04,0.04,0.05,0.06,0.07,0.07,0.05,0.05,0.06,0.07,0.08,0.08,0.05,0.06,0.06,0.09,0.10,0.11
Australia,21,K14_rcp26_2100,0.10,0.13,0.20,0.21,0.27,0.37,0.04,0.05,0.07,0.07,0.08,0.12,0.05,0.06,0.08,0.07,0.09,0.12,0.06,0.07,0.10,0.10,0.13,0.17
Australia,21,K14_rcp45_2050,0.09,0.10,0.12,0.19,0.21,0.24,0.04,0.04,0.05,0.06,0.07,0.07,0.05,0.05,0.06,0.07,0.08,0.08,0.05,0.06,0.07,0.09,0.10,0.11
Australia,21,K14_rcp45_2100,0.11,0.15,0.23,0.23,0.30,0.42,0.05,0.06,0.07,0.07,0.09,0.13,0.06,0.07,0.08,0.08,0.09,0.13,0.06,0.08,0.12,0.11,0.14,0.18
Australia,21,K14_rcp85_2050,0.09,0.10,0.12,0.20,0.22,0.25,0.04,0.04,0.05,0.06,0.07,0.08,0.05,0.06,0.06,0.07,0.08,0.08,0.05,0.06,0.07,0.09,0.10,0.12
Australia,21,K14_rcp85_2100,0.13,0.20,0.31,0.27,0.36,0.57,0.05,0.07,0.11,0.08,0.11,0.17,0.06,0.08,0.11,0.09,0.11,0.16,0.07,0.10,0.15,0.13,0.16,0.24
Australia,21,K17_rcp26_2050,0.08,0.10,0.13,0.17,0.21,0.26,0.04,0.04,0.05,0.06,0.07,0.08,0.05,0.05,0.06,0.07,0.08,0.09,0.05,0.06,0.07,0.08,0.10,0.12
Australia,21,K17_rcp26_2100,0.09,0.14,0.25,0.20,0.28,0.45,0.04,0.06,0.08,0.06,0.08,0.14,0.05,0.07,0.09,0.07,0.09,0.13,0.05,0.08,0.12,0.09,0.13,0.19
Australia,21,K17_rcp45_2050,0.08,0.10,0.13,0.18,0.21,0.26,0.04,0.04,0.05,0.06,0.07,0.08,0.05,0.05,0.06,0.07,0.08,0.09,0.05,0.06,0.07,0.09,0.10,0.12
Australia,21,K17_rcp45_2100,0.13,0.22,0.46,0.26,0.40,0.85,0.05,0.07,0.15,0.08,0.13,0.21,0.06,0.08,0.14,0.09,0.12,0.20,0.07,0.11,0.20,0.12,0.18,0.32
Australia,21,K17_rcp85_2050,0.09,0.11,0.14,0.19,0.22,0.27,0.04,0.05,0.05,0.06,0.07,0.08,0.05,0.06,0.06,0.07,0.08,0.09,0.05,0.06,0.08,0.09,0.11,0.13
Australia,21,K17_rcp85_2100,0.22,0.41,1.1,0.40,0.77,1.5,0.07,0.13,0.28,0.12,0.20,0.39,0.08,0.13,0.26,0.12,0.18,0.35,0.11,0.18,0.41,0.18,0.29,0.55
Bahamas,0.31,Present day,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--
Bahamas,0.31,K14_rcp26_2050,0.00,0.01,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,0.31,K14_rcp26_2100,0.01,0.02,0.12,0.01,0.08,0.13,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.01
Bahamas,0.31,K14_rcp45_2050,0.00,0.01,0.01,0.01,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,0.31,K14_rcp45_2100,0.01,0.06,0.13,0.01,0.11,0.14,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.01
Bahamas,0.31,K14_rcp85_2050,0.00,0.01,0.01,0.01,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,0.31,K14_rcp85_2100,0.01,0.11,0.14,0.03,0.12,0.15,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.01
Bahamas,0.31,K17_rcp26_2050,0.00,0.01,0.02,0.01,0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,0.31,K17_rcp26_2100,0.00,0.05,0.14,0.01,0.11,0.15,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.01
Bahamas,0.31,K17_rcp45_2050,0.00,0.01,0.02,0.01,0.01,0.09,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Bahamas,0.31,K17_rcp45_2100,0.01,0.13,0.17,0.05,0.14,0.17,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.01,0.01,0.00,0.01,0.01
Bahamas,0.31,K17_rcp85_2050,0.00,0.01,0.04,0.01,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Bahamas,0.31,K17_rcp85_2100,0.12,0.16,0.21,0.13,0.17,0.21,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0.01,0.04,0.01,0.01,0.02,0.01,0.01,0.03
Bahrain,0.73,Present day,--,0.00 ,--,--,0.00 ,--,--,0.01 ,--,--,0.02 ,--,--,0.00 ,--,--,0.01 ,--,--,0.01 ,--,--,0.01 ,--
Bahrain,0.73,K14_rcp26_2050,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bahrain,0.73,K14_rcp26_2100,0.00,0.00,0.02,0.00,0.02,0.05,0.02,0.02,0.03,0.02,0.03,0.04,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
Bahrain,0.73,K14_rcp45_2050,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bahrain,0.73,K14_rcp45_2100,0.00,0.00,0.02,0.00,0.03,0.07,0.02,0.02,0.03,0.02,0.03,0.04,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02
Bahrain,0.73,K14_rcp85_2050,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bahrain,0.73,K14_rcp85_2100,0.00,0.01,0.05,0.01,0.04,0.19,0.02,0.03,0.04,0.03,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.03
Bahrain,0.73,K17_rcp26_2050,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bahrain,0.73,K17_rcp26_2100,0.00,0.00,0.03,0.00,0.02,0.08,0.02,0.02,0.03,0.02,0.03,0.04,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02
Bahrain,0.73,K17_rcp45_2050,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bahrain,0.73,K17_rcp45_2100,0.00,0.02,0.14,0.01,0.05,0.34,0.02,0.03,0.04,0.03,0.04,0.06,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0.02,0.04
Bahrain,0.73,K17_rcp85_2050,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Bahrain,0.73,K17_rcp85_2100,0.01,0.08,0.43,0.04,0.28,0.48,0.02,0.04,0.08,0.03,0.05,0.10,0.01,0.02,0.05,0.01,0.03,0.06,0.01,0.02,0.06,0.02,0.03,0.08
Bangladesh,160,Present day,--,9.3 ,--,--,28 ,--,--,1.1 ,--,--,3.0 ,--,--,1.4 ,--,--,3.6 ,--,--,2.0 ,--,--,6.6 ,--
Bangladesh,160,K14_rcp26_2050,16,18,20,39,42,45,1.6,1.8,2.1,4.2,4.7,5.3,2.0,2.2,2.5,4.8,5.4,6.1,3.0,3.5,4.1,9.3,11,13
Bangladesh,160,K14_rcp26_2100,24,30,39,50,56,62,2.3,3.0,4.2,5.9,7.5,10,2.8,3.6,4.8,7.1,9.0,12,4.6,6.3,9.4,15,19,24
Bangladesh,160,K14_rcp45_2050,16,18,21,39,42,45,1.6,1.8,2.1,4.2,4.8,5.4,2.0,2.2,2.6,4.8,5.5,6.3,3.0,3.5,4.2,9.4,11,13
Bangladesh,160,K14_rcp45_2100,25,32,41,51,57,64,2.5,3.3,4.7,6.2,8.1,11,3.0,3.9,5.4,7.5,9.7,13,4.9,7.0,11,16,20,26
Bangladesh,160,K14_rcp85_2050,16,19,21,40,43,46,1.6,1.9,2.2,4.3,4.9,5.5,2.0,2.3,2.6,4.9,5.6,6.4,3.1,3.6,4.3,9.7,11,13
Bangladesh,160,K14_rcp85_2100,28,36,46,54,60,68,2.8,3.8,5.6,6.9,9.4,13,3.3,4.4,6.6,8.3,11,15,5.7,8.3,13,18,23,29
Bangladesh,160,K17_rcp26_2050,15,18,21,37,42,46,1.5,1.8,2.2,3.9,4.6,5.5,1.8,2.1,2.7,4.5,5.3,6.4,2.6,3.3,4.4,8.5,10,13
Bangladesh,160,K17_rcp26_2100,23,31,42,48,57,65,2.0,3.1,4.7,5.5,7.6,12,2.4,3.6,5.4,6.6,9.2,13,4.1,6.4,11,13,19,26
Bangladesh,160,K17_rcp45_2050,15,18,22,38,42,47,1.5,1.8,2.3,3.9,4.7,5.7,1.8,2.2,2.7,4.5,5.4,6.6,2.7,3.4,4.6,8.6,11,14
Bangladesh,160,K17_rcp45_2100,27,39,54,53,63,73,2.6,4.1,7.1,6.6,10,17,3.0,4.7,8.4,7.9,12,18,5.3,8.9,18,16,24,33
