4:4:1.92502323692654:1.92502323692654
8:8:0.378184029466954:0.378184029466954
12:12:1.61238169409106:1.61238169409106
16:16:0.655035599760857:0.655035599760857
20:20:0.80768782760629:0.80768782760629
24:24:5.7287653629784:5.7287653629784
28:28:1.04207172616616:1.04207172616616
31:31:0.906596542618112:0.906596542618112
32:32:1.2568097457424:1.2568097457424
36:36:1.68144996441356:1.68144996441356
40:40:0.9634086871558:0.9634086871558
44:44:1.17004027992514:1.17004027992514
48:48:1.32340943697721:1.32340943697721
50:50:0.919263981941082:0.919263981941082
51:51:0.687968955539792:0.687968955539792
52:52:0.747424061578935:0.747424061578935
56:56:1.07793312565317:1.07793312565317
60:60:0.593082074093106:0.593082074093106
64:64:0.88941981202988:0.88941981202988
68:68:1.48984089733693:1.48984089733693
70:70:0.500197054695251:0.500197054695251
72:72:1.77148184765853:1.77148184765853
76:76:0.850034175621932:0.850034175621932
84:84:1.5603778472465:1.5603778472465
90:90:3.50828968171932:3.50828968171932
92:92:0.822072295531964:0.822072295531964
96:96:0.891198057981682:0.891198057981682
100:100:0.516423027022593:0.516423027022593
104:104:1.01634145132033:1.01634145132033
108:108:4.28096960157621:4.28096960157621
112:112:0.786265277685031:0.786265277685031
116:116:1.27729218502742:1.27729218502742
120:120:3.39884126581828:3.39884126581828
124:124:1.50900818943655:1.50900818943655
132:132:1.08626265315079:1.08626265315079
136:136:1.56218807060256:1.56218807060256
140:140:2.40827709179993:2.40827709179993
144:144:0.713353134157589:0.713353134157589
148:148:3.76539333498479:3.76539333498479
152:152:0.906682648217541:0.906682648217541
156:156:0.739926259287926:0.739926259287926
158:158:0.682664088651801:0.682664088651801
170:170:0.888732564765786:0.888732564765786
174:174:2.51439923182631:2.51439923182631
175:175:2.73334115309754:2.73334115309754
178:178:3.79877446769644:3.79877446769644
180:180:4.04226671122753:4.04226671122753
184:184:0.78490093372808:0.78490093372808
188:188:0.941865258610231:0.941865258610231
191:191:0.531832270146553:0.531832270146553
192:192:0.589007431698929:0.589007431698929
196:196:1.08410906100164:1.08410906100164
203:203:0.959388109906245:0.959388109906245
204:204:3.89410434441473:3.89410434441473
208:208:1.18657909607105:1.18657909607105
212:212:0.713214151768971:0.713214151768971
214:214:1.01517749419611:1.01517749419611
218:218:1.38767436034339:1.38767436034339
222:222:0.734802853010568:0.734802853010568
226:226:3.21502439441619:3.21502439441619
231:231:2.56074919829178:2.56074919829178
232:232:2.55518497913534:2.55518497913534
233:233:0.631508006926295:0.631508006926295
234:234:1.12753504553361:1.12753504553361
238:238:0.780074648291703:0.780074648291703
242:242:1.18979099642588:1.18979099642588
246:246:0.948319333342718:0.948319333342718
248:248:1:1
250:250:1.00343571217679:1.00343571217679
254:254:3.10411407450064:3.10411407450064
258:258:0.931083217042121:0.931083217042121
262:262:1.34782723111897:1.34782723111897
266:266:2.63249822080685:2.63249822080685
268:268:0.630238081808895:0.630238081808895
270:270:3.38299118123165:3.38299118123165
275:275:2.40486523741643:2.40486523741643
276:276:0.892063461561759:0.892063461561759
288:288:2.54277182288322:2.54277182288322
292:292:0.808583894808703:0.808583894808703
296:296:2.00484737873181:2.00484737873181
300:300:0.631615526195005:0.631615526195005
304:304:0.713802578735997:0.713802578735997
308:308:0.765941752059652:0.765941752059652
312:312:0.84640376680404:0.84640376680404
316:316:0.994898775350598:0.994898775350598
320:320:1.74541352779959:1.74541352779959
324:324:3.44609706755426:3.44609706755426
328:328:0.674581309221559:0.674581309221559
332:332:1.2944886894868:1.2944886894868
340:340:1.44632770928441:1.44632770928441
344:344:1.02004044824401:1.02004044824401
348:348:0.709800369551828:0.709800369551828
352:352:1.03528498168498:1.03528498168498
356:356:1.04856595220167:1.04856595220167
360:360:1.17277778360502:1.17277778360502
364:364:1.17376495859123:1.17376495859123
368:368:2.6778858839292:2.6778858839292
372:372:1.15131568821393:1.15131568821393
376:376:2.09432581972635:2.09432581972635
380:380:0.661457175922633:0.661457175922633
384:384:3.66334496853945:3.66334496853945
388:388:0.605541542658437:0.605541542658437
392:392:0.592674551338242:0.592674551338242
398:398:1.48683232901275:1.48683232901275
400:400:1.33724618107759:1.33724618107759
404:404:2.33254273190345:2.33254273190345
408:408:0.884169152073127:0.884169152073127
410:410:0.576212673410458:0.576212673410458
414:414:1.44921945888633:1.44921945888633
417:417:1.68372415829028:1.68372415829028
418:418:1.15784663055305:1.15784663055305
422:422:0.836166947136903:0.836166947136903
426:426:1.25822638979915:1.25822638979915
428:428:0.590817420403541:0.590817420403541
430:430:3.06959815741496:3.06959815741496
434:434:1.16594460397303:1.16594460397303
438:438:1.18551537876603:1.18551537876603
440:440:0.559854181643329:0.559854181643329
442:442:1.5738111365292:1.5738111365292
446:446:1.55791093137361:1.55791093137361
450:450:3.60973859430742:3.60973859430742
454:454:3.47932789178019:3.47932789178019
458:458:1.23827996899709:1.23827996899709
462:462:0.906604852166899:0.906604852166899
466:466:3.96935242271997:3.96935242271997
470:470:0.810193437046331:0.810193437046331
474:474:0.623668607517354:0.623668607517354
478:478:3.67007630665468:3.67007630665468
480:480:0.650514598979215:0.650514598979215
484:484:1.09754844062005:1.09754844062005
492:492:1.64009784935277:1.64009784935277
496:496:1.64329718036099:1.64329718036099
498:498:0.498658019421596:0.498658019421596
499:499:0.722310854660846:0.722310854660846
500:500:0.575715143028606:0.575715143028606
504:504:1.21124866223914:1.21124866223914
508:508:3.95601427399747:3.95601427399747
512:512:1.42322909351818:1.42322909351818
516:516:2.11482355182147:2.11482355182147
520:520:0.534797858593317:0.534797858593317
524:524:0.813685322016056:0.813685322016056
528:528:0.919739352605648:0.919739352605648
531:531:1.06667276051188:1.06667276051188
533:533:0.957561395950022:0.957561395950022
534:534:1.61424373863159:1.61424373863159
535:535:1.24350711261966:1.24350711261966
540:540:1.24694298594351:1.24694298594351
548:548:3.15177600520918:3.15177600520918
554:554:1.24596841338857:1.24596841338857
558:558:1.22640784572063:1.22640784572063
562:562:6.81413712339046:6.81413712339046
566:566:3.55555964124445:3.55555964124445
570:570:1.06674907292954:1.06674907292954
574:574:1:1
578:578:1.46699354133241:1.46699354133241
580:580:0.927602203033515:0.927602203033515
583:583:0.997504803470671:0.997504803470671
584:584:1.06786160759536:1.06786160759536
585:585:0.787696219323458:0.787696219323458
586:586:1.82488375750809:1.82488375750809
591:591:1.49254815090869:1.49254815090869
598:598:2.21109246680489:2.21109246680489
600:600:1.22447897169728:1.22447897169728
604:604:1.18762477501638:1.18762477501638
608:608:1.33533484360006:1.33533484360006
612:612:1:1
616:616:0.608576885562126:0.608576885562126
620:620:0.68502066402418:0.68502066402418
624:624:2.89954004018297:2.89954004018297
626:626:1.7998288889462:1.7998288889462
630:630:0.425322282965842:0.425322282965842
